species	version	file	md5	size_bytes	source	upstream_ref	citation_doi	license
human	2.0.0	Human2_2.0.0_regcompass.rds	47f91236e77132cc98c22b29ee4fd5e0	555108	SysBioChalmers/Human-GEM	v2.0.0	10.1126/scisignal.aaz1482	CC-BY-4.0
mouse	1.8.0	Mouse_1.8.0_regcompass.rds	1beae5f645038b5d385fa60c4dada4cd	327376	SysBioChalmers/Mouse-GEM	v1.8.0	10.1073/pnas.2102344118	CC-BY-4.0
